ID,SMILES,EC50,CLASS,CANONICAL_SMILES,InChIKey
CHEMBL595262,C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)Oc1cc(I)c(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,0.0047,1,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Oc1cc(I)c(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,WCPKEBYJPDOASM-UHFFFAOYSA-N
CHEMBL17976,C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)Cc1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,0.019,1,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,DSDNAKHZNJAGHN-UHFFFAOYSA-N
CHEMBL594016,C=C(C(=O)OCC1=C[C@H]2[C@H]3O[C@@]4(Cc5ccccc5)O[C@@]2([C@H](C)C[C@]3(C(=C)C)O4)[C@@H]2C=C(C)C(=O)[C@@]2(O)C1)c1ccc(O)c(OC)c1,0.15,1,C=C(C(=O)OCC1=CC2C3OC4(Cc5ccccc5)OC3(C(=C)C)CC(C)C2(O4)C2=CC(C)C(=O)C2(O)C1)c1ccc(O)c(OC)c1,CLFAYODMAPKFOX-UHFFFAOYSA-N
CHEMBL124602,CCCCCC[C@H](C/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1)OC(C)=O,0.3981,1,CCCCCCC(CC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1)OC(C)=O,INOXFUNIVWWTNW-UHFFFAOYSA-N
CHEMBL123254,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCc1ccc(O)c(OC)c1,0.5012,1,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCc1ccc(O)c(OC)c1,QVLMCRFQGHWOPM-UHFFFAOYSA-N
CHEMBL121808,COc1cc(CNC(=O)/C=C(\C)CC/C=C(\C)CCC=C(C)C)ccc1O,0.5012,1,COc1cc(CNC(=O)C=C(C)CCC=C(C)CCC=C(C)C)ccc1O,MCXBWGHOXCXUTP-UHFFFAOYSA-N
CHEMBL76903,CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,0.5012,1,CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,OPZKBPQVWDSATI-UHFFFAOYSA-N
CHEMBL594649,C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)C(OC(C)=O)c1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,0.65,1,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)C(OC(C)=O)c1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,IPCJGABZAXBYMQ-UHFFFAOYSA-N
CHEMBL594895,C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)C(C)c1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,0.98,1,C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)C(C)c1ccc(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,QKSRTJSCISHWOH-UHFFFAOYSA-N
CHEMBL3099608,COc1cc(CNC(=S)NC[C@H](COC(=O)C(C)(C)C)Cc2ccc(C(C)(C)C)cc2)ccc1O,0.99,1,COc1cc(CNC(=S)NCC(COC(=O)C(C)(C)C)Cc2ccc(C(C)(C)C)cc2)ccc1O,TVYDDDOENZEUAG-UHFFFAOYSA-N
CHEMBL124002,CCCCCCCC[C@@H]1C[C@@H]1CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1.259,1,CCCCCCCCC1CC1CCCCCCCC(=O)NCc1ccc(O)c(OC)c1,WGKRHPJCQPXIJK-UHFFFAOYSA-N
CHEMBL122864,CCCCCC/C=C/C#CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1.259,1,CCCCCCC=CC#CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,DNZQCJQSBTWFRB-UHFFFAOYSA-N
CHEMBL234520,C=C(C)[C@]12C[C@@H](C)[C@@]3(OCc4ccccc4)[C@@H](C=C(COC(=O)/C=C/c4ccc(O)c(OC)c4)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@H]1OCO2,1.5,1,C=C(C)C12CC(C)C3(OCc4ccccc4)C(C=C(COC(=O)C=Cc4ccc(O)c(OC)c4)CC4(O)C(=O)C(C)=CC43)C1OCO2,DHUQZWPGPBZOEM-UHFFFAOYSA-N
CHEMBL333489,COc1ccc(CNC(=O)CCCC/C=C/CCCCCCCCCCCCC(=O)NCc2ccc(OC)c(O)c2)cc1O,1.585,1,COc1ccc(CNC(=O)CCCCC=CCCCCCCCCCCCCC(=O)NCc2ccc(OC)c(O)c2)cc1O,WAKFRPZVVBJKDJ-UHFFFAOYSA-N
CHEMBL5173171,O=C(Nc1ccc2cn[nH]c2c1)N1CCN(c2ccc(Cl)cn2)CC1,1.62,1,O=C(Nc1ccc2c[nH]nc2c1)N1CCN(c2ccc(Cl)cn2)CC1,YDHVRKLICPIOOQ-UHFFFAOYSA-N
CHEMBL438313,C=C(C)[C@]12C[C@@H](C)[C@@]3(OCc4ccccc4)[C@@H](C=C(COC(=O)c4cc(I)c(O)c(OC)c4)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@H]1OCO2,1.9,1,C=C(C)C12CC(C)C3(OCc4ccccc4)C(C=C(COC(=O)c4cc(I)c(O)c(OC)c4)CC4(O)C(=O)C(C)=CC43)C1OCO2,WFOZJUJNAXEDNL-UHFFFAOYSA-N
CHEMBL1095331,COc1cc(/C=C/C(=O)N2CCCCC2)ccc1O,1.995,1,COc1cc(C=CC(=O)N2CCCCC2)ccc1O,HSNHZGKSAZOEPE-UHFFFAOYSA-N
CHEMBL313885,C=CCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1.995,1,C=CCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CKWSPVVWIACXHV-UHFFFAOYSA-N
CHEMBL124415,COc1cc(CNC(=O)/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)ccc1O,1.995,1,COc1cc(CNC(=O)C=C(C)CCCC(C)CCCC(C)CCCC(C)C)ccc1O,SRCYPPPJXGPXQE-UHFFFAOYSA-N
CHEMBL5428602,COc1cc(CNC(=O)CCCc2ccc(-c3ccccc3)s2)ccc1O,2.0,1,COc1cc(CNC(=O)CCCc2ccc(-c3ccccc3)s2)ccc1O,NBNNOQFZPSDKNP-UHFFFAOYSA-N
CHEMBL2177429,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)[C@@H](C)c2ccc(NS(C)(=O)=O)c(F)c2)CC1,2.22,1,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CC1,ZBCNEJFPFPEMEX-UHFFFAOYSA-N
CHEMBL332105,COc1cc(CNC(=O)C2CC2(C)CCCC(C)CCCC(C)CCCC(C)C)ccc1O,2.512,1,COc1cc(CNC(=O)C2CC2(C)CCCC(C)CCCC(C)CCCC(C)C)ccc1O,OTLLMFQRSOBYEX-UHFFFAOYSA-N
CHEMBL1096703,COc1cc(/C=C/C(=O)N2CCSCC2)ccc1O,2.512,1,COc1cc(C=CC(=O)N2CCSCC2)ccc1O,NEXAVEHOUSBMGM-UHFFFAOYSA-N
CHEMBL1097704,COc1cc(/C=C/C(=O)N2CCOCC2)ccc1O,2.512,1,COc1cc(C=CC(=O)N2CCOCC2)ccc1O,XDVWAJLMMNGANG-UHFFFAOYSA-N
