ID,SMILES,CLASS
CHEMBL4226647,CCCCCCCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL124602,CCCCCCC(CC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1)OC(C)=O,1
CHEMBL123254,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL121808,COc1cc(CNC(=O)C=C(C)CCC=C(C)CCC=C(C)C)ccc1O,1
CHEMBL76903,CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL358031,CCCCCCCC(=O)NCCc1ccc(O)cc1,0
CHEMBL122864,CCCCCCC=CC#CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL25948,CCCCC=CCC(=O)CCc1ccc(O)c(OC)c1,1
CHEMBL4228832,CCCCCCCCC=CCCCCCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL4227432,CCCCCCCCCCCCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL313885,C=CCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL124415,COc1cc(CNC(=O)C=C(C)CCCC(C)CCCC(C)CCCC(C)C)ccc1O,1
CHEMBL4226582,CCCCCCCCCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL3593946,Oc1ccc(CN=C=S)cc1,0
CHEMBL151649,S=C=NCCc1ccccc1,0
CHEMBL4225006,CC(C)=CCCC(C)=CC(=O)OCC(=O)NCc1ccc(O)c(O)c1,1
CHEMBL55285,S=C=NCc1ccccc1,0
CHEMBL3355298,CC(C)=CCCC(C)=CCNC(=O)Cc1ccc(Cl)cc1,1
CHEMBL4226595,CC(C)(C)C(=O)NCCc1ccc(O)c(O)c1,0
CHEMBL121925,CCCCCCCCC=CCCCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL4224748,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL122849,CCCCCCC(O)CC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL126172,CCCCCCC(O)CCCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL1096704,COc1cc(C=CC(=O)NCC(C)C)ccc1O,1
CHEMBL122156,CCCCCCC(=O)CCCCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL3355287,CC(C)=CCCC(C)=CCNC(=O)Oc1ccc(C(C)(C)C)cc1,0
CHEMBL121730,CCCCCCCCC#CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL3355284,CC(C)=CCCC(C)=CCNC(=O)CCc1ccccc1,0
CHEMBL4228169,CCCCCCCC(=O)NCCc1ccc(OC(C)=O)c(OC(C)=O)c1,0
CHEMBL39878,CCCCCC=CCC=CCC=CCC=CCCCC(=O)Nc1ccc(O)cc1,1
CHEMBL313971,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,1
CHEMBL121867,COc1cc(CNC(=O)C=C(C)CCC=C(C)C)ccc1O,1
CHEMBL4226128,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC(=O)OCC(=O)NCc1ccc(O)c(O)c1,1
CHEMBL4226064,CCCCCCCC(=O)OCC(=O)NCc1ccc(O)c(OC)c1,1
CHEMBL138921,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCc1ccc(O)c(O)c1,1
CHEMBL77772,CCCCCCCCNC(=O)Cc1ccc(O)c(O)c1,1
CHEMBL4225866,COc1cc(CNC(=O)COC(=O)CCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C)ccc1O,1
