ID,SMILES,IC50,CLASS,CANONICAL_SMILES,InChIKey
CHEMBL1761696,C[C@H](NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1)C(F)(F)F,0.1585,1,CC(NCc1c(C(=O)NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1)C(F)(F)F,NNEPHZMMSYMBQT-UHFFFAOYSA-N
CHEMBL1092853,FC(F)(F)c1ccc(Nc2ncnc3nc(-c4ncccc4C(F)(F)F)cnc23)cc1,0.21,1,FC(F)(F)c1ccc(Nc2ncnc3nc(-c4ncccc4C(F)(F)F)cnc23)cc1,FMUUOSKGOPDNLL-UHFFFAOYSA-N
CHEMBL1214342,FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncccc4C(F)(F)F)cnc23)nc1,0.23,1,FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncccc4C(F)(F)F)cnc23)nc1,VUYOFYXGESQXFL-UHFFFAOYSA-N
CHEMBL4781687,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,0.27,1,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,DPMRJPMKHJGTMZ-UHFFFAOYSA-N
CHEMBL457188,CC(C)OCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,0.3,1,CC(C)OCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,BTQUJFUWPMZTDJ-UHFFFAOYSA-N
CHEMBL456162,CC1CN(Cc2nc(Nc3ccc(C(F)(F)F)cc3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)CC(C)O1,0.4,1,CC1CN(Cc2nc(Nc3ccc(C(F)(F)F)cc3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)CC(C)O1,CJCRMTDJINOTAK-UHFFFAOYSA-N
CHEMBL408581,C=C(C)[C@]12C[C@@H](C)[C@@]3(OCc4ccccc4)[C@@H](C=C(COC(=O)Cc4cc(I)c(O)c(OC)c4)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@H]1OCO2,0.4,1,C=C(C)C12CC(C)C3(OCc4ccccc4)C(C=C(COC(=O)Cc4cc(I)c(O)c(OC)c4)CC4(O)C(=O)C(C)=CC43)C1OCO2,ABSOHSGIQKEXPA-UHFFFAOYSA-N
CHEMBL190874,O=C(/C=C/c1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1ccc2cccnc2c1,0.42,1,O=C(C=Cc1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1ccc2cccnc2c1,GFYCXLQAPXNSNG-UHFFFAOYSA-N
CHEMBL5406113,CCCN(CCC)c1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,0.46,1,CCCN(CCC)c1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,RVYPSPYUAXYOHJ-UHFFFAOYSA-N
CHEMBL526827,Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,0.5,1,Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,SCNBWTRGKZBRIY-UHFFFAOYSA-N
CHEMBL456778,FC(F)(F)c1ccc(Nc2nc(COCc3ccccc3)nc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,0.5,1,FC(F)(F)c1ccc(Nc2nc(COCc3ccccc3)nc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,MXSCESHKBLICIQ-UHFFFAOYSA-N
CHEMBL1669532,O=C(N[C@@H]1CCC[C@H](O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1Cl,0.5012,1,O=C(NC1CCCC(O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1Cl,ZMKULNNAJKQJNK-UHFFFAOYSA-N
CHEMBL226723,FC(F)(F)c1ccc(-c2cc(Nc3ccc4cccnc4c3)ncn2)cc1,0.6,1,FC(F)(F)c1ccc(-c2cc(Nc3ccc4cccnc4c3)ncn2)cc1,BFZXCGOWJMWJHM-UHFFFAOYSA-N
CHEMBL229430,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,0.62,1,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,YUTIXVXZQIQWGY-UHFFFAOYSA-N
CHEMBL404165,OC1CCc2cccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,0.62,1,OC1CCc2cccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,FLGSROIZNLRZES-UHFFFAOYSA-N
CHEMBL1089824,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)cnc23)cc1,0.63,1,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)cnc23)cc1,RNWMGFPVPGBMKE-UHFFFAOYSA-N
CHEMBL1807877,O=C(N[C@@H]1CCC[C@H](O)C1)c1noc(-c2ccc(Cl)c(F)c2)c1Cl,0.631,1,O=C(NC1CCCC(O)C1)c1noc(-c2ccc(Cl)c(F)c2)c1Cl,GZOIUWMOSBRHIW-UHFFFAOYSA-N
CHEMBL1807875,O=C(N[C@@H]1CCC[C@H](O)C1)c1noc(-c2ccc(C(F)(F)F)c(F)c2)c1Cl,0.631,1,O=C(NC1CCCC(O)C1)c1noc(-c2ccc(C(F)(F)F)c(F)c2)c1Cl,AKTYPMNVRRQNOV-UHFFFAOYSA-N
CHEMBL4787931,Cc1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,0.64,1,Cc1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,IELNVNHRSCEZHF-UHFFFAOYSA-N
CHEMBL255420,Oc1ccc2cccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2c1,0.65,1,Oc1ccc2cccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2c1,HXKPZQRDFRBMGH-UHFFFAOYSA-N
CHEMBL441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,0.7,1,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,ROGUAPYLUCHQGK-UHFFFAOYSA-N
CHEMBL4789232,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1cccc2[nH]c(=O)ccc12,0.75,1,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1cccc2[nH]c(=O)ccc12,GPTRLLZNVUQBQI-UHFFFAOYSA-N
CHEMBL375681,Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2[nH]c1=O,0.8,1,Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2[nH]c1=O,ODCJPRNNQFZRPV-UHFFFAOYSA-N
CHEMBL214989,CC(C)(C)c1ccc(NC(=O)c2ccc(-c3ncccc3N(S(C)(=O)=O)S(C)(=O)=O)cc2)cc1,0.8,1,CC(C)(C)c1ccc(NC(=O)c2ccc(-c3ncccc3N(S(C)(=O)=O)S(C)(=O)=O)cc2)cc1,KPZSELDZESJLNX-UHFFFAOYSA-N
CHEMBL1214402,NC(=O)c1cnc(-c2cnc3c(Nc4ccc(C(F)(F)F)cn4)ccnc3n2)c(C(F)(F)F)c1,0.8,1,NC(=O)c1cnc(-c2cnc3c(Nc4ccc(C(F)(F)F)cn4)ccnc3n2)c(C(F)(F)F)c1,YPYYPOYQUMYMKR-UHFFFAOYSA-N
CHEMBL214796,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,0.8,1,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,VTANGSDRFFLTSQ-UHFFFAOYSA-N
CHEMBL5426914,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCC1)Nc1cccc2c1ccc(=O)n2CCO,0.81,1,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCC1)Nc1cccc2c1ccc(=O)n2CCO,JUNYSVKHKOONDX-UHFFFAOYSA-N
CHEMBL1092852,FC(F)(F)c1ccc(Nc2ncnc3nc(-c4ncccc4C(F)(F)F)ccc23)cc1,0.83,1,FC(F)(F)c1ccc(Nc2ncnc3nc(-c4ncccc4C(F)(F)F)ccc23)cc1,MFGQIYLGXALDMI-UHFFFAOYSA-N
CHEMBL456571,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)nc1,0.85,1,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)nc1,PTKLUWQABAPTOX-UHFFFAOYSA-N
CHEMBL4783757,CC(C)c1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,0.88,1,CC(C)c1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,FZDLIOQXLTYMPH-UHFFFAOYSA-N
CHEMBL498666,CCOCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,0.9,1,CCOCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,QERUDLNIHPVYAZ-UHFFFAOYSA-N
CHEMBL4784134,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCC1)Nc1cccc2[nH]c(=O)ccc12,0.94,1,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCC1)Nc1cccc2[nH]c(=O)ccc12,MAXIPLFNXBFRLC-UHFFFAOYSA-N
CHEMBL1761693,CC(C)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,1.0,1,CC(C)CNCc1c(C(=O)NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1,YTLXHZXWTRZESG-UHFFFAOYSA-N
CHEMBL513942,CC(C)OCc1nc(Nc2ccc(C(F)(F)F)nc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,1.0,1,CC(C)OCc1nc(Nc2ccc(C(F)(F)F)nc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,DAVMVBAXGICPIO-UHFFFAOYSA-N
CHEMBL5428602,COc1cc(CNC(=O)CCCc2ccc(-c3ccccc3)s2)ccc1O,1.0,1,COc1cc(CNC(=O)CCCc2ccc(-c3ccccc3)s2)ccc1O,NBNNOQFZPSDKNP-UHFFFAOYSA-N
CHEMBL516769,OCc1cc(Cl)c(Nc2nc3c(Nc4ccc(C(F)(F)F)cc4)ncnc3s2)c(Cl)c1,1.0,1,OCc1cc(Cl)c(Nc2nc3c(Nc4ccc(C(F)(F)F)cc4)ncnc3s2)c(Cl)c1,DZDRWPDHEFKQCG-UHFFFAOYSA-N
CHEMBL457003,C[C@@H]1CN(Cc2nc(Nc3ccc(C(F)(F)F)cn3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)C[C@H](C)O1,1.0,1,CC1CN(Cc2nc(Nc3ccc(C(F)(F)F)cn3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)CC(C)O1,MSKQELXBLADADB-UHFFFAOYSA-N
CHEMBL3682255,CN1C(=O)NCc2c(NC(=O)N[C@@H]3C[C@](C)(C(F)(F)F)Oc4ccccc43)cccc21,1.0,1,CN1C(=O)NCc2c(NC(=O)NC3CC(C)(C(F)(F)F)Oc4ccccc43)cccc21,AJZCZMNZIRAUDA-UHFFFAOYSA-N
CHEMBL511391,O=S(=O)(c1ccc(Nc2ncnc3sc(Nc4c(Cl)cccc4Cl)nc23)cc1)N1CCCC1,1.0,1,O=S(=O)(c1ccc(Nc2ncnc3sc(Nc4c(Cl)cccc4Cl)nc23)cc1)N1CCCC1,WMGVRVGVSGARAS-UHFFFAOYSA-N
CHEMBL2312050,CC(C)(C)c1ccc(NC(=O)N2CCc3c([nH]c4ccc(O)cc34)C2)cc1,1.0,1,CC(C)(C)c1ccc(NC(=O)N2CCc3c([nH]c4ccc(O)cc34)C2)cc1,HFOVEBXKPMCLNH-UHFFFAOYSA-N
CHEMBL5409442,O=C(NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)Nc1cccc2c1ccc(=O)n2CCO,1.02,1,O=C(NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)Nc1cccc2c1ccc(=O)n2CCO,VLGOREHEOOEDMA-UHFFFAOYSA-N
CHEMBL5412992,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCCC1)Nc1cccc2c1ccc(=O)n2CCO,1.08,1,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCCC1)Nc1cccc2c1ccc(=O)n2CCO,FTMKHQSFEYDDCO-UHFFFAOYSA-N
CHEMBL195115,CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3cccnc3c2)cc1,1.1,1,CC(C)(C)c1ccc(C=CC(=O)Nc2ccc3cccnc3c2)cc1,DVQXSZAZWBIEPK-UHFFFAOYSA-N
CHEMBL258054,OC1CCc2cc(F)cc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1.1,1,OC1CCc2cc(F)cc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,JWRFJKHYBQZYIN-UHFFFAOYSA-N
CHEMBL258265,OC1CCc2ccc(Cl)c(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1.1,1,OC1CCc2ccc(Cl)c(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,IQMMVCZTEATURZ-UHFFFAOYSA-N
CHEMBL5430115,O=C(NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)Nc1cccc2c1ccc(=O)n2CCO,1.14,1,O=C(NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)Nc1cccc2c1ccc(=O)n2CCO,JBXAYMPHGSSLNP-UHFFFAOYSA-N
CHEMBL5403769,CCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,1.15,1,CCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,IBWGQOHJAUNGQB-UHFFFAOYSA-N
CHEMBL5419861,CC(C)COc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,1.16,1,CC(C)COc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,BCLQMZICFGNHSS-UHFFFAOYSA-N
CHEMBL5434483,CCCCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,1.18,1,CCCCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,UMMKHMCZGOSBEC-UHFFFAOYSA-N
CHEMBL457842,CCN(CC)Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,1.2,1,CCN(CC)Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,DSJMWSZZVBLHLI-UHFFFAOYSA-N
CHEMBL4785229,O=C(NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)Nc1cccc2[nH]c(=O)ccc12,1.2,1,O=C(NCc1ccc(C(F)(F)F)nc1OCc1ccccc1)Nc1cccc2[nH]c(=O)ccc12,BWULRIXFTDRQCL-UHFFFAOYSA-N
CHEMBL5400968,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1cccc2c1ccc(=O)n2CCO,1.23,1,O=C(NCc1ccc(C(F)(F)F)nc1N1CCCCC1)Nc1cccc2c1ccc(=O)n2CCO,ZRALAQGIERBKDB-UHFFFAOYSA-N
CHEMBL1761695,O=C(N[C@@H]1CCC[C@H](O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1CNCC1CCC1,1.259,1,O=C(NC1CCCC(O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1CNCC1CCC1,RXDSHBPQPIRHPX-UHFFFAOYSA-N
CHEMBL4779695,O=C(NCc1cc(C(F)(F)F)nn1-c1cccc(F)c1)Nc1cccc2[nH]c(=O)ccc12,1.28,1,O=C(NCc1cc(C(F)(F)F)nn1-c1cccc(F)c1)Nc1cccc2[nH]c(=O)ccc12,UFHIPPKVVCUJTD-UHFFFAOYSA-N
CHEMBL5427113,CCCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,1.3,1,CCCCCOc1nc(C(F)(F)F)ccc1CNC(=O)Nc1cccc2c1ccc(=O)n2CCO,QMXOKVLVPOAPCS-UHFFFAOYSA-N
CHEMBL1173756,OC1CCc2cccc(Nc3nc(-c4ccc(F)cc4)c(-c4ccc(C(F)(F)F)cc4)o3)c2C1,1.3,1,OC1CCc2cccc(Nc3nc(-c4ccc(F)cc4)c(-c4ccc(C(F)(F)F)cc4)o3)c2C1,ILPRVNDOZVRMRI-UHFFFAOYSA-N
CHEMBL5408353,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3c2ccc(=O)n3CCO)CC1,1.31,1,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3c2ccc(=O)n3CCO)CC1,NUBLLLBJFNYYLS-UHFFFAOYSA-N
CHEMBL5413293,CC(C)c1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3c2ccc(=O)n3CCO)c1,1.34,1,CC(C)c1cccc(-n2nc(C(F)(F)F)cc2CNC(=O)Nc2cccc3c2ccc(=O)n3CCO)c1,GZJWBORTPRHICU-UHFFFAOYSA-N
CHEMBL4784658,CC(C)c1cccc(-c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,1.35,1,CC(C)c1cccc(-c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)c1,JXRUHXJZDCWLDX-UHFFFAOYSA-N
CHEMBL5426292,COCCn1c(=O)ccc2c(NC(=O)NCc3ccc(C(F)(F)F)nc3N3CCC(C)CC3)cccc21,1.35,1,COCCn1c(=O)ccc2c(NC(=O)NCc3ccc(C(F)(F)F)nc3N3CCC(C)CC3)cccc21,IDJMQZWWQLHILP-UHFFFAOYSA-N
CHEMBL258056,OC1CCc2c(Cl)ccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1.4,1,OC1CCc2c(Cl)ccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,DJTKBJVKWXYQKY-UHFFFAOYSA-N
CHEMBL4790268,CC1CCC(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,1.44,1,CC1CCC(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,BEIHCSFDVGJNKP-UHFFFAOYSA-N
CHEMBL5414267,O=C(NCc1ccc(C(F)(F)F)nc1-c1ccc(F)cc1)Nc1cccc2c1ccc(=O)n2CCO,1.45,1,O=C(NCc1ccc(C(F)(F)F)nc1-c1ccc(F)cc1)Nc1cccc2c1ccc(=O)n2CCO,GPRSIKZWCMTWKC-UHFFFAOYSA-N
CHEMBL4783214,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCC1)Nc1cccc2[nH]c(=O)ccc12,1.49,1,O=C(NCc1ccc(C(F)(F)F)nc1OCC1CCC1)Nc1cccc2[nH]c(=O)ccc12,TXXWBULQPHXCHU-UHFFFAOYSA-N
CHEMBL497650,COCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,1.5,1,COCc1nc(Nc2ccc(C(F)(F)F)cc2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,AUMMEWJHZYQLQC-UHFFFAOYSA-N
CHEMBL5394003,O=C(NCc1cc(C(F)(F)F)nn1-c1ccc(F)c(Cl)c1)Nc1cccc2c1ccc(=O)n2CCO,1.51,1,O=C(NCc1cc(C(F)(F)F)nn1-c1ccc(F)c(Cl)c1)Nc1cccc2c1ccc(=O)n2CCO,BGSZOWFHHBHWIW-UHFFFAOYSA-N
