ID,SMILES,CLASS
CHEMBL3959449,CN1CCCc2ccc(Nc3nc(OC4CCCCC4)nc4c3CCN(c3ncccc3C(F)(F)F)CC4)cc21,1
CHEMBL3359448,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)NCCc1c[nH]c2ccc(O)cc12,0
CHEMBL3975235,CN1CCC(C)(C)c2ccc(Nc3nc(N4CCCCC4)nc4c3CCN(c3ncccc3C(F)(F)F)CC4)cc21,1
CHEMBL3936993,CN1CCCc2ccc(Nc3nc(N4CCCCC4)nc4c3CCN(c3ncccc3C(F)(F)F)CC4)cc21,1
CHEMBL397272,O=C(NCc1ccc(N2CCCCCC2)c(C(F)(F)F)c1)Nc1cccc2cnccc12,1
CHEMBL387996,O=C(NCc1ccc(N2CCCCCC2)cc1)Nc1cccc2cnccc12,1
CHEMBL231517,O=C(NCc1ccc(N2CCCCCC2)cc1C(F)(F)F)Nc1cccc2cnccc12,1
CHEMBL231518,O=C(NCc1ccc(N2CCCCCC2)c(F)c1)Nc1cccc2cnccc12,1
CHEMBL427266,Cc1cc2c(NC(=O)NCc3ccc(N4CCCCCC4)cc3)cccc2cn1,1
CHEMBL387579,Nc1cc2c(NC(=O)NCc3ccc(N4CCCCCC4)cc3)cccc2cn1,1
CHEMBL427111,O=C(NCc1ccc(N2CCCCCC2)cc1Cl)Nc1cccc2cnccc12,1
CHEMBL151298,O=C(NCCc1ccc(Cl)c(Cl)c1)Nc1cccc2ccc(O)cc12,1
CHEMBL3677363,Cn1c(=O)ccc2c(NC(=O)NC3CC4(CCCC4)Oc4ccccc43)cccc21,1
CHEMBL4800169,COc1cc(CNC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C2(C)CC3)ccc1O,1
CHEMBL5429923,COc1cc(CNC(=O)CCCc2ccc(-c3cccnc3)s2)ccc1O,1
CHEMBL5410838,O=C(CCCc1ccc(-c2cccnc2)s1)NCc1ccccc1,0
CHEMBL5410131,COc1ccc(CNC(=O)CCCc2ccc(-c3cccnc3)s2)cc1,0
CHEMBL5416035,O=C(CCCc1ccc(-c2cccnc2)s1)NCc1ccc(Cl)c(Cl)c1,1
CHEMBL267538,CC(C)(C)c1ccc(NC(=O)c2ccc(-c3ncccc3NS(=O)(=O)Cc3ccccc3)cc2)cc1,1
CHEMBL520995,O=C(Nc1cccc2[nH]ncc12)NC1CCc2cc(N3CCCCC3)ccc21,1
CHEMBL3325766,CCC1CC2CN3CCC4(O)C(=Nc5ccc(OC)cc54)C(C(=O)OC)(C2)C13,0
CHEMBL1684249,O=C(Nc1cccc2[nH]ncc12)NC1CCOc2c(C3CCCCC3)cccc21,1
CHEMBL2088390,C#Cc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088401,O=C(Nc1ccc2sc(CO)nc2c1)c1ccc(Br)cc1,1
CHEMBL2088409,CC(C)(C)c1ccc(C(=O)Nc2ccc3sc(CNS(C)(=O)=O)nc3c2)cc1,1
CHEMBL2088398,Cc1nc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc2s1,1
CHEMBL2088411,CC(O)c1nc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc2s1,1
CHEMBL2088399,CC(C)(C)c1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088391,O=C(Nc1ccc2sc(CO)nc2c1)c1ccc(C(F)(F)F)cc1,1
CHEMBL2088408,CC(C)(C)c1ccc(C(=O)Nc2ccc3sc(CN)nc3c2)cc1,1
CHEMBL2088394,CC(C)Oc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088418,Cc1cc(Cl)ccc1C(=O)Nc1ccc2sc(CO)nc2c1,1
CHEMBL2088402,CCOCc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088393,CC(C)(C)Oc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088419,Cc1cc(OC(C)C)ccc1C(=O)Nc1ccc2sc(CO)nc2c1,1
CHEMBL2088403,CC(C)(C)OCc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,1
CHEMBL2088420,Cc1cc(Br)ccc1C(=O)Nc1ccc2sc(CO)nc2c1,1
CHEMBL2088400,O=C(Nc1ccc2sc(CO)nc2c1)c1ccc(Cl)cc1,1
CHEMBL3949329,FC(F)(F)c1ccc(Nc2nc(N3CCCCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cn1,1
CHEMBL3753666,CC(C)Cc1ccc(C(C)C(=O)NCCNC(=O)Nc2cc(Cl)ccc2Cl)cc1,1
CHEMBL3904864,O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)N1CC=C(c2ncc(-c3noc(CO)n3)cc2Cl)CC1,1
CHEMBL2024496,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc2ccc(O)cc2c1,1
CHEMBL3644111,O=C(Nc1cccc2[nH]ncc12)NC1CC(c2ccccc2)C1,1
CHEMBL3646680,O=C(Nc1ccc2c(c1)NC(=O)C(N1CCOCC1)C2)NC1CCC(c2ccccc2)C1,1
CHEMBL3903753,Cc1cc(-c2ccc(CO)o2)cnc1C1(F)CCN(C(=O)Nc2ccc(C(F)(F)F)c(Cl)c2)CC1,1
CHEMBL2376856,O=C(N1CCCCC1)n1nnnc1Cc1ccc(-c2ccccc2)cc1,0
CHEMBL3910757,Cc1cccc2c1N(C(=O)CSc1ccc(C(F)(F)F)cn1)CCC2,0
CHEMBL4115478,O=C(Nc1ccc(C(F)(F)F)c(F)c1)N1CCC(F)(c2ncc(C(O)CO)cc2F)CC1,1
CHEMBL4107976,O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)N1CCC(F)(c2ncc(C(O)CO)cc2F)CC1,1
CHEMBL3894902,Cc1cc(NC(=O)N2CCC(F)(c3ncc(C(O)CO)cc3Cl)CC2)ccc1OC(F)(F)F,1
CHEMBL3671861,Cc1cc(NC(=O)N2CCC(F)(c3ncc(CC(O)CO)cc3F)CC2)ccc1OC(F)(F)F,1
CHEMBL4114019,COc1cc(NC(=O)N2CCC(F)(c3ncc(C(O)CO)cc3Cl)CC2)ccc1C(F)(F)F,1
