ID,SMILES,CLASS
CHEMBL3682293,CN1Cc2ccc(NC(=O)NC3CC4(CCCC4)Oc4ccccc43)cc2NC1=O,1
CHEMBL3682404,O=C(Nc1ccc2c(c1)NC(=O)N(CCO)C2)NC1CC2(CCCC2)Oc2ccccc21,1
CHEMBL1784750,CCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C(=O)NC(C)C(=O)N=C(CC)C(=O)O)C(C)C)C(C)O,0
CHEMBL1784749,CCC(=NC(=O)C(C)NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(C)=O)C(C)O)C(C)C)C(=O)O,0
CHEMBL2164567,CCN(CCO)C(=O)c1cc2cccnc2n1-c1cccc(C(F)(F)F)c1,1
CHEMBL201141,Cc1nc(=O)c2cc(-c3ccc(Cl)c(OCC(=O)O)c3)c(C(C)C)cc2[nH]1,1
CHEMBL380480,Cc1nc(=O)c2cc(-c3ccc(Cl)c(OCCO)c3)c(C(C)C)cc2[nH]1,1
CHEMBL201190,Cc1nc(=O)c2cc(-c3ccc(Cl)cc3)c(C(C)C)cc2[nH]1,1
CHEMBL199903,Cc1nc(=O)c2cc(-c3ccc(C)c(Cl)c3)c(C(C)C)cc2[nH]1,1
CHEMBL201528,Cc1nc(=O)c2cc(-c3cccc(OCCN(C)C)c3)c(C(C)C)cc2[nH]1,1
CHEMBL382181,CC(C)c1cc2[nH]c(N)nc(=O)c2cc1-c1ccc(Cl)cc1,1
CHEMBL201421,CCc1nc(=O)c2cc(-c3ccc(Cl)cc3)c(C(C)C)cc2[nH]1,1
CHEMBL439870,Cc1nc(=O)c2cc(-c3ccc(Cl)c(F)c3)c(C(C)C)cc2[nH]1,1
CHEMBL201259,Cc1nc(=O)c2cc(-c3ccc(Cl)c(OC(C)C)c3)c(C(C)C)cc2[nH]1,1
CHEMBL1289150,FC(F)(F)c1ccc(Nc2nc(C3CC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL3968132,FC(F)(F)c1cccnc1N1CCc2nc(C3CC3)nc(Nc3ccc(Cl)cc3)c2CC1,1
CHEMBL3929543,CC(C)(C)c1ccc(Nc2nc(C3CC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL523307,O=C(Nc1ccc(C(F)(F)F)nc1)C1=CCN(c2ncccc2C(F)(F)F)CC1,1
CHEMBL3923478,FC(F)(F)c1ccc(Nc2nc(-c3ccccn3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1Cl,1
CHEMBL3915916,FC(F)(F)c1ccc(Nc2nc(-c3ccccn3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL3939207,CC(C)(C)c1ccc(Nc2nc(-c3ccccn3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL3359449,CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1cccc(C(=O)c2ccccc2)c1,0
CHEMBL1631259,FC(F)(F)c1ccc(Nc2nc(NCc3ccccn3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL3644060,CC1Oc2c(NC(=O)NC3CCC(c4ccccc4)C3)cccc2NC1=O,1
CHEMBL3935014,CC(C)(C)c1ccc(Nc2nc(-c3ccccc3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL1289264,FC(F)(F)c1ccc(Nc2nc(-c3ccccc3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL186411,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2nc3ccc(F)cc3s2)C(C)C1,1
CHEMBL3682277,CN1Cc2ccc(NC(=O)NC3CC4(CCC4)Oc4ccc(F)cc43)cc2NC1=O,1
CHEMBL3677354,O=C(Nc1ccc2c(c1)NC(=O)N(CCO)C2)NC1CC2(CCC2)Oc2ccc(F)cc21,1
CHEMBL3941281,O=S(=O)(c1ccc(Nc2nc(OC3CCOC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1)N1CCCC1,1
CHEMBL391997,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,1
CHEMBL1761697,CN(Cc1c(C(=O)NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1)C1CCOC1,1
CHEMBL186939,Cc1cnnc(N2CCN(C(=O)Nc3ccc(C(C)(C)C)cc3)CC2)c1,1
CHEMBL185685,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)C(C)C1,1
CHEMBL362548,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)C(C)C1,1
CHEMBL187248,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)CC1,1
CHEMBL426258,Cc1cc(Cl)nnc1N1CCN(C(=O)Nc2ccc(C(C)(C)C)cc2)CC1,1
CHEMBL186811,CC(C)(C)c1ccc(NC(=O)N2CCN(c3cccnn3)CC2)cc1,1
CHEMBL362154,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(C)C)cc2)CC1,1
CHEMBL363749,Cc1ccnnc1N1CCN(C(=O)Nc2ccc(C(F)(F)F)cc2)C(C)C1,1
CHEMBL457843,FC(F)(F)c1ccc(Nc2nc(CN3CCCC3)nc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,1
CHEMBL3983106,FC(F)(F)c1ccc(Nc2nc(-c3cccs3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL3627723,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,1
CHEMBL4126621,O=C(Nc1cccc(O)c1)c1ccc(-c2ccccc2)c(CN2CCCCC2)c1,1
CHEMBL4128007,COc1cccc(NC(=O)c2ccc(-c3ccccc3)c(CN3CCCCC3)c2)c1,1
CHEMBL4130038,CN(C)c1cccc(NC(=O)c2ccc(-c3ccccc3)c(CN3CCCCC3)c2)c1,1
CHEMBL3960200,CC(Oc1nc2c(c(Nc3ccc(C(F)(F)F)cc3)n1)CCN(c1ncccc1C(F)(F)F)CC2)C1CCCCC1,1
CHEMBL3954625,CC(Oc1nc2c(c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n1)CCN(c1ncccc1C(F)(F)F)CC2)C1CCCCC1,1
CHEMBL3891989,FC(F)(F)c1ccc(Nc2nc(-c3ccccc3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)nc1,1
CHEMBL230998,O=C(NCc1ccc(N2CCCCCCC2)cc1)Nc1cccc2cnccc12,1
CHEMBL3932917,OCC1CCCN1c1nc2c(c(Nc3ccc(C(F)(F)F)cn3)n1)CCN(c1ncccc1C(F)(F)F)CC2,1
CHEMBL2312045,CC(C)(C)c1ccc(OC(=O)N2CCc3c([nH]c4ccc(O)cc34)C2)cc1,1
CHEMBL2312039,CC(C)(C)c1ccc(OC(=O)N2CCc3c([nH]c4ccccc34)C2)cc1,0
CHEMBL396018,CC(NC(=O)Nc1cccc2[nH]ncc12)c1cccc2ccccc12,1
CHEMBL3942472,O=S(=O)(c1ccc(Nc2nc(OC3CCOCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1)N1CCCC1,1
CHEMBL3961559,O=C(Nc1ccc(C(F)(F)F)cn1)N1CC=C(c2ncc(-c3cc(CO)on3)cc2Cl)CC1,1
CHEMBL2385415,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OC1CCC1)c1ccc(NS(C)(=O)=O)c(F)c1,1
CHEMBL3359451,COc1ccc2cc(C(C)C(=O)NCCc3c[nH]c4ccc(O)cc34)ccc2c1,0
CHEMBL190818,CC(C)(C)c1ccc(C=CC(=O)Nc2ccc3c(c2)CCCC3)cc1,1
CHEMBL3646692,CC(C)(C)c1ccc2c(c1)CC(NC(=O)Nc1cccc3scnc13)C2,1
CHEMBL258054,OC1CCc2cc(F)cc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1
CHEMBL258265,OC1CCc2ccc(Cl)c(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1
CHEMBL404165,OC1CCc2cccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1
CHEMBL402637,OC1CCc2c(Br)ccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1
CHEMBL258056,OC1CCc2c(Cl)ccc(Nc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)c2C1,1
CHEMBL3899860,CN(c1nc2c(c(Nc3ccc(C(F)(F)F)nc3)n1)CCN(c1ncccc1C(F)(F)F)CC2)C1CCCCC1,1
CHEMBL3426380,NS(=O)(=O)c1ccccc1-c1ccc2[nH]c(C#Cc3ccccc3)nc2c1,1
CHEMBL3426379,CC(C)(O)c1ccccc1-c1ccc2[nH]c(C#Cc3ccc(C(F)(F)F)cc3)nc2c1,1
CHEMBL3426378,CC(C)(O)c1ccccc1-c1ccc2[nH]c(C#Cc3ccccc3)nc2c1,1
CHEMBL3426381,NS(=O)(=O)c1ccccc1-c1ccc2[nH]c(C#Cc3ccc(C(F)(F)F)cc3)nc2c1,1
CHEMBL3907323,FC(F)(F)c1ccc(Nc2nc(N3CCCCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)nc1Cl,1
CHEMBL1290034,FC(F)(F)c1ccc(Nc2nc(N3CCCCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)nc1,1
CHEMBL1684270,CC(C)CCN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2cccc(Cl)c21,1
CHEMBL254226,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2ccc(C(F)(F)F)cc21,1
CHEMBL1684260,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2ccccc21,1
CHEMBL1684263,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2ccc(C(C)(C)C)cc21,1
CHEMBL1684248,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2cc(C(C)(C)C)ccc21,1
CHEMBL1684261,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2ccc(F)cc21,1
CHEMBL1684262,CN1CCC(NC(=O)Nc2cccc3[nH]ncc23)c2cccc(C(C)(C)C)c21,1
CHEMBL456572,COCc1nc(Nc2ccc(C(F)(F)F)cn2)c2ccc(-c3ncccc3C(F)(F)F)cc2n1,1
CHEMBL456571,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)nc1,1
CHEMBL3970407,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2cc(F)c(F)cc2s1,1
CHEMBL3975357,Cc1cc2nc(NC(=O)N3CCN(c4ncc(C(O)C(C)O)cc4F)CC3)sc2cc1C,1
CHEMBL3954252,Cc1ccc2nc(NC(=O)N3CCN(c4ncc(C(O)C(C)O)cc4F)CC3)sc2c1,1
CHEMBL4111114,CC1CN(C(=O)Nc2nc3cc(F)ccc3s2)CCN1c1ncc(C(O)CO)cc1F,1
CHEMBL3959550,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccc(F)cc4s3)C(C)C2)c(F)c1,1
CHEMBL4113128,CC1CN(C(=O)Nc2nc3cc(F)c(F)cc3s2)CCN1c1ncc(C(O)CO)cc1F,1
CHEMBL4111404,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4cc(F)c(F)cc4s3)CC2C)c(F)c1,1
CHEMBL4113561,O=C(Nc1nc2ccc(F)cc2s1)N1CCN(c2ncc(C(O)CO)cc2Cl)CC1,1
CHEMBL3912898,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccc(Cl)cc4s3)CC2)c(F)c1,1
CHEMBL4110315,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2cc(F)ccc2s1,1
CHEMBL3906030,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccc(F)cc4s3)CC2C)c(F)c1,1
CHEMBL3916266,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccc(F)cc4s3)CC2)c(F)c1,1
CHEMBL3901599,CC1CN(C(=O)Nc2nc3ccccc3s2)CCN1c1ncc(C(O)CO)cc1F,1
CHEMBL4108724,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4cc(F)ccc4s3)CC2C)c(F)c1,1
CHEMBL4113986,Cc1ccc2nc(NC(=O)N3CCN(c4ncc(C(O)CO)cc4F)CC3C)sc2c1,1
CHEMBL4109185,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2ccc(F)cc2s1,1
CHEMBL4111432,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2ccc(Cl)cc2s1,1
CHEMBL4112198,CC1CN(C(=O)Nc2nc3ccc(F)cc3s2)CCN1c1ncc(C(O)CO)cc1F,1
CHEMBL4107019,CC1CN(c2ncc(C(O)CO)cc2F)CCN1C(=O)Nc1nc2ccccc2s1,1
CHEMBL4114167,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccccc4s3)CC2C)c(F)c1,1
CHEMBL3977933,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4cc(F)ccc4s3)C(C)C2)c(F)c1,1
CHEMBL3965544,CC(O)C(O)c1cnc(N2CCN(C(=O)Nc3nc4ccc(F)cc4s3)CC2)c(Cl)c1,1
CHEMBL3899600,O=S(=O)(c1ccc(Nc2nc(SCc3ccccc3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1)C(F)(F)F,1
CHEMBL3896041,FC(F)(F)c1ccc(Nc2nc(SCc3ccccc3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
CHEMBL195257,COc1ccc(NC(=O)C=Cc2ccc(C(C)(C)C)cc2)cc1,1
CHEMBL195877,COc1ccc(NC(=O)C=Cc2ccc(C(C)(C)C)cc2)cc1OC,1
CHEMBL194443,COc1ccccc1NC(=O)C=Cc1ccc(C(C)(C)C)cc1,1
CHEMBL3422829,COc1ccccc1NC(=O)C=Cc1cccc([N+](=O)[O-])c1,0
CHEMBL426634,CC(C)(C)c1ccc(C=CC(=O)Nc2ccccc2)cc1,1
CHEMBL363810,COc1ccc(NC(=O)C=Cc2ccc(C(C)(C)C)cc2)cc1O,1
CHEMBL122413,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,1
CHEMBL195085,COc1cccc(NC(=O)C=Cc2ccc(C(C)(C)C)cc2)c1,1
CHEMBL1684269,COc1ccc2c(c1)C(NC(=O)Nc1cccc3[nH]ncc13)CCN2CC1CCCCC1,1
CHEMBL231020,O=C1CC2CCC(C1)N2c1cc(F)c(CNC(=O)Nc2cccc3[nH]ncc23)cc1F,1
CHEMBL1950590,CC(C)c1cc(CCC(=O)CC(O)Cc2ccccc2)cc(C(C)C)c1O,0
CHEMBL487732,O=C(CCc1ccccc1)CC(O)Cc1ccccc1,0
CHEMBL1950588,COc1cc(CCC(=O)CC(O)Cc2ccccc2)ccc1O,0
CHEMBL1097449,O=C(CCc1ccc(O)cc1)CC(O)Cc1ccccc1,0
CHEMBL1950591,Cc1cc(O)c(C(C)C)cc1CCC(=O)CC(O)Cc1ccccc1,0
CHEMBL489571,O=C(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1)C1=CCN(c2nccs2)CC1,1
CHEMBL491036,CC(C)(C)c1ccc(NC(=O)C2=CCN(c3nccs3)CC2)cc1,1
CHEMBL3891783,CC1(C)OCC(COc2nc3c(c(Nc4ccc(C(F)(F)F)cc4)n2)CCN(c2ncccc2C(F)(F)F)CC3)O1,1
CHEMBL2042399,CC(C(=O)NCc1ccc(C(C)(C)C)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,1
CHEMBL3314389,CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,1
